Date,Close
9/7/2016,132.79
9/8/2016,131.26
9/9/2016,127.74
9/12/2016,128.59
9/13/2016,125.72
9/14/2016,126.26
9/15/2016,126.96
9/16/2016,126.11
9/19/2016,126.29
9/20/2016,126.83
9/21/2016,128.11
9/22/2016,128.75
9/23/2016,127.79
9/26/2016,125.45
9/27/2016,126.82
9/28/2016,128.27
9/29/2016,127.93
9/30/2016,128.68
10/3/2016,128.5
10/4/2016,128.2
10/5/2016,127.58
10/6/2016,130.19
10/7/2016,128.31
10/10/2016,127.25
10/11/2016,125.85
10/12/2016,126.69
10/13/2016,126.29
10/14/2016,126.42
10/17/2016,125.14
10/18/2016,125.74
10/19/2016,125.89
10/20/2016,126.25
10/21/2016,126.6
10/24/2016,127.78
10/25/2016,123.34
10/26/2016,122.71
10/27/2016,122.26
10/28/2016,123.58
10/31/2016,122.01
11/1/2016,119.89
11/2/2016,120.29
11/3/2016,120.18
11/4/2016,120.91
11/7/2016,123.75
11/8/2016,124.25
11/9/2016,126.02
11/10/2016,129.03
11/11/2016,129.85
11/14/2016,127.67
11/15/2016,124.4
11/16/2016,125.33
11/17/2016,128.93
11/18/2016,128.33
11/21/2016,128.22
11/22/2016,130.98
11/23/2016,131.21
11/25/2016,131.57
11/28/2016,130.64
11/29/2016,129.62
11/30/2016,129.4
12/1/2016,129.47
12/2/2016,129.87
12/5/2016,129.68
12/6/2016,128.74
12/7/2016,132.46
12/8/2016,132.53
12/9/2016,133.39
12/12/2016,134.58
12/13/2016,136.54
12/14/2016,135.98
12/15/2016,135.84
12/16/2016,135.11
12/19/2016,135.44
12/20/2016,137.11
12/21/2016,136.83
12/22/2016,135.43
12/23/2016,135.05
12/27/2016,135.26
12/28/2016,135.07
12/29/2016,135.1
12/30/2016,134.08
1/3/2017,134.31
1/4/2017,135.5
1/5/2017,133.9
1/6/2017,133.53
1/9/2017,134.31
1/10/2017,136.1
1/11/2017,135.7
1/12/2017,135.07
1/13/2017,135.04
1/17/2017,135.93
1/18/2017,136.16
1/19/2017,135.39
1/20/2017,135.6
1/23/2017,138.07
1/24/2017,138.06
1/25/2017,137.48
1/26/2017,138.46
1/27/2017,138.33
1/30/2017,138.47
1/31/2017,137.58
2/1/2017,137.44
2/2/2017,136.95
2/3/2017,137.98
2/6/2017,136.49
2/7/2017,136.65
2/8/2017,137.88
2/9/2017,138.71
2/10/2017,139.85
2/13/2017,139.87
2/14/2017,141.36
2/15/2017,142.19
